,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41
E3.1.443,0.5918871241505306,0.8109362327657297,0.5304114769398368,0.13499252150317986,0.19816784997383682,0.5794834718843633,0.09261030209775584,0.6416969633278787,0.06765827140770622,0.3452488698933724,0.521209443731731,0.26809382013505983,0.8612378897756229,0.42241917537380486,0.6954109124841039,0.6332416573149211,1.0585511886291956,0.4194752852500131,0.16849244092420523,0.08936484985939988,0.7749911206238587,0.32383024766504165,0.13805153737141268,0.3303120741724105,0.29820545684838895,1.0880369287803806,0.8553727714960012,0.5151010656426405,1.1133007609860839,0.9080442335629402,0.7611997095178227,0.17870847629008255,0.7217676858492706,0.5746402352618452,0.49133026668852225,0.5605502052407546,0.15803059929794586,0.3756859548721736,0.5934688477047511,0.10878063470987687
E3.1.444,0.8139007454653706,0.8082837836963301,0.6340202604052461,0.2773552503503598,0.36814187717314517,0.5381628906350905,0.1184577991043401,0.5271393541236039,0.5136493156319195,0.6305341712829022,0.7860522999753747,0.21654754378541816,0.852287787985139,0.6344225051774341,0.8149227927208317,0.5601783669875835,0.9547932736787607,0.18631315903207687,0.5815876004195897,0.06256029664866923,0.1302308326412437,0.4454406518877804,0.14057771335258032,0.30279397080087617,0.29323355436441556,1.147700417520463,0.7159765781514283,0.6883536629728314,0.9313231036441697,0.8782626008421788,0.38034017027256356,0.24641685702002059,0.2097172491387319,0.2237823468770387,0.6018683958606001,0.37618812169233395,0.6162221211603804,0.3476378661582908,0.3059234231794963,0.1387017646280521
E3.1.445,0.5031407557559889,0.7408236236114749,0.6701478504018309,0.3077780249108173,0.1608100762230444,0.5018373713110538,0.14575893615689953,0.2514819874091108,0.07803582276247595,0.3120587745882845,0.9764555249365612,0.1789969626835886,1.1370495723159193,0.4609973832379734,0.7416642308812826,0.6233182445523806,1.0697979846106853,0.291572288688701,0.5476806692327726,0.10824942878907173,0.46871657968515246,0.6481938258929497,0.12271203559246385,0.31242353661055644,0.45687956150934095,1.0256520095663122,0.6370092355913943,0.710997726680972,0.8953311938844882,0.8361405929387304,0.6487328130859781,0.35930200889040664,0.8175935518251609,0.2690799921177629,0.24637001868400532,0.11805845177703654,0.7069104696064794,0.12780475600825655,0.6668376703269789,0.11760010696803194
E3.1.447,0.852450225242668,0.938241212798032,0.6879272101832405,0.3212977897869412,0.4369482027728684,0.6238107364128462,0.1526937434953121,0.34611125596507114,0.25533616545699234,0.4705403291824884,0.2796435231551455,0.23991038730068728,0.8961989581713599,0.33971586959600525,0.7015206609286404,0.6549516039847816,1.1293442234232498,0.4175533628814974,0.07077112815416867,0.08209199226863523,0.1545091773768821,0.6656589686354373,0.12174913125288755,0.3882675660098132,0.4549856343243583,1.0123527881884402,0.6587329908098042,0.4865039168039969,1.0735651584972554,0.8468725377334305,0.4641256848706029,0.34848917386266964,0.7414665232724745,0.4521738779488955,0.46912413593796093,0.7148893998384397,0.31538498464505255,0.114283863239773,0.3732228337464427,0.24658274949154507
E3.1.448,0.5798057672933218,0.7088816629040716,0.7198561439118755,0.22433821678195726,0.18165410611225016,0.532409212518929,0.2761249784874047,0.3733924329974145,0.34530731468691095,0.5955831725868321,0.5439180809564367,0.18848162512372307,0.9022131749114142,0.38166782376753594,0.975596114970654,0.5184441461050896,1.0036100616072923,0.37700604867566123,0.1768291636962136,0.00715052406219858,0.7195698602346797,0.4221329741325124,0.15112014360843615,0.295677024179236,0.41273014408989783,1.0265912963591546,0.766915324174291,0.7414213615985357,1.2306392555361625,0.8563484290897234,0.639246307034648,0.3333325540125721,0.5786909761896343,0.5583941369298302,0.22615267570720765,0.05070318426712036,0.33532448986938573,0.3178654063729288,0.6461020655119374,0.07877241912675115
E3.2.449,0.6769719420418503,0.8678578839400185,0.50319593539769,0.2208865479517973,0.17557082603479127,0.45197265401822473,0.032947419687505725,0.2735683376075827,0.597721253108229,0.4340362285507319,0.26144239744859155,0.26886151094069916,0.8428791112668004,0.31831934052349115,0.6652669885087072,0.6408337924496413,1.0349333289529428,0.3434591898081401,0.3324882008656004,0.1147081620553154,0.5173260780836318,0.782713967949895,0.1578991564387782,0.3419916203130084,0.25997972951290815,0.9648834592698565,0.6264243862130291,0.7775236693012846,1.1198035417761478,0.8041453795563737,0.4266007200039053,0.3471960232378913,0.2969479846144827,0.45470314480807217,0.5838545055475014,0.49344970330248666,0.5467676906630324,0.3806210487656654,0.5295879547868915,0.529658920986819
E3.2.450,0.8328858392505172,1.0169475915339723,0.6836742394476384,0.2619982960574574,0.16791621223398692,0.7038812634690799,0.07336369688831099,0.01835599488682123,0.1888901204472368,0.5127315919596349,0.9373629056885207,0.2111476758484389,0.9853886705870802,0.7439464529198365,0.5889076536250594,0.6347875859756617,1.0686683381174595,0.07548530984743744,0.4679370425734948,0.03917332502683198,0.5002314390867354,0.49373865551212043,0.1548764664872636,0.33674969132058163,0.30620878750975844,0.840829162965372,0.8992645863754922,0.9506331231271896,1.2479911954185803,0.9089266899969044,0.7443356481245772,0.29747181193036815,0.3599805586558288,0.25260103227907316,0.2878875737500186,0.19480120249825442,0.3496262607881647,0.09026406680138813,0.5309863766860881,0.03914544178244879
E3.2.452,1.0386956101335525,1.0815768411498332,0.6143182558979478,0.4031771398941505,0.3930377313913221,0.5813985550049314,0.28451666742283493,0.2916495143726854,0.5339058108869033,0.5194965515043805,0.07977135716363401,0.25073040133269575,0.8573798919259457,0.3955918451203065,0.7196939069918492,0.5561857480510841,0.9987061036425466,0.4081836382346688,0.12753087224424098,0.013097553367897365,0.11443776708833847,0.16287090618775235,0.45907800596760373,0.597059094436899,0.4305323588814304,0.8717344922170538,0.7538966586486913,0.9043133655369496,1.1524172119927838,0.8753455646938204,0.4144614604959628,0.2443536778464597,0.04019686918759857,0.278554314392936,0.4126711024780538,0.6418536720103636,0.2719310853929986,0.4674519891633368,0.6570477822672538,0.10114735368238506
E3.2.453,0.8572912272904403,1.023315500739552,0.5097183615180784,0.09714104805631119,0.5244782599438177,0.3750247452147641,0.13354480701268837,0.3357213375053979,0.17042415474723138,0.4176523121878519,0.5371294814405388,0.22169888807783633,0.9484171936212771,0.3759623240626206,0.590858424234339,0.5864063003244557,0.7796997615223418,0.3071312950668607,0.5955744917028315,0.0517575056852149,0.8073717062104971,0.7737422148466201,0.15605945284068984,0.4422249024420031,0.3811334454536357,0.783353350338376,0.6704103932638169,0.4288008094935793,1.0258640401263353,0.8607043795478746,0.728019102621798,0.1342989028858524,0.5351611814945607,0.809720550467793,0.7136466618974738,0.15600579952357246,0.17413987034290773,0.19528789605729452,0.5946579040921411,0.1904482870190621
E3.2.454,1.0922179640089604,1.0025668960951473,0.5834638891728066,0.19093879368705474,0.3074062353795311,0.5703159982269325,0.06326841652984645,0.25334088273781186,0.14102618735976047,0.5085111085648336,0.24447926069442086,0.19290877609194768,0.9438748421143959,0.42508976521980735,0.7770802926945509,0.5672102473627822,0.7564635534231196,0.13960814431164098,0.6630774895766071,0.03301288871442335,0.3902422884981678,0.07749357395295971,0.16715284927792226,0.3591136295312096,0.4484635091593052,1.1511720455525916,0.7902696852622422,0.9514834161267232,1.1497033885568317,0.965524218887489,0.33942327726984367,0.16343836649812635,0.15130708350344255,0.20579962799205365,0.562499294296485,0.5909924547473093,0.8952058317627434,0.2890107230582839,0.30903037632948815,0.5868122047019905
